Username,Email,Password,Name,Logo,Description,RN,ChiefFirstName,ChiefLastName,Address,Phone
arline,arline@gmail.com,1234,Arline Airlines,Arline.jpg,Arline Airlines is a major EU airline headquartered in Rome Italy. It is the fifth largest airline in the United States when measured by fleet size scheduled passengers carried and the number of destinations served. EU together with its regional partners Ozonyk Air and GreenSix Airlines operate a large domestic route network primarily focused on connecting from the Pacific Northwest and Arline to over one hundred destinations in the contiguous United States Hawaii Canada Costa Rica and Mexico and Europe. The airline operates out of five hubs with its primary hub being at Eattle–Acoma International Airport.Arline Airlines is currently not a member of any of the three major airline alliances but it plans to join OneTry by the end of March 2021. As of 2020 the airline employs over 160 000 000 people,764426685,Antonia,Lennox,Via Benedetto Croce 49,393407240429
inxs,inxs@gmail.com,1234,INXS Airlines,inxs.jpg,INXS Airlines is a major EU airline headquartered in RomeItaly. It is the fifth largest airline in the United States when measured by fleet size scheduled passengers carried and the number of destinations served. EU together with its regional partners Ozonyk Air and GreenSix Airlines operate a large domestic route network primarily focused on connecting from the Pacific Northwest and INXS to over one hundred destinations in the contiguous United States Hawaii Canada Costa Rica and Mexico and Europe. The airline operates out of five hubs with its primary hub being at Eattle–Acoma International Airport. INXS Airlines is currently not a member of any of the three major airline alliances but it plans to join OneTry by the end of March 2021. As of 2020 the airline employs over 160 000 000 people,764436685,Antonia,Lennox,Via Benedetto Croce 49,393407240429
los,los@gmail.com,1234,LOS Airlines,los.jpg,LOS Airlines is a major EU airline headquartered in Rome Italy. It is the fifth largest airline in the United States when measured by fleet size scheduled passengers carried and the number of destinations served. EU together with its regional partners Ozonyk Air and GreenSix Airlines operate a large domestic route network primarily focused on connecting from the Pacific Northwest and LOS to over one hundred destinations in the contiguous United States Hawaii Canada Costa Rica and Mexico and Europe.The airline operates out of five hubs with its primary hub being at Eattle–Acoma International Airport.LOS Airlines is currently not a member of any of the three major airline alliances but it plans to join OneTry by the end of March 2021. As of 2020 the airline employs over 160 000 000 people,764426485,Antonia,Lennox,Via Benedetto Croce 49,393407240429
flymary,flymary@gmail.com,1234,FlyMary Airlines,flymary.jpg,FlyMary Airlines is a major EU airline headquartered in Rome Italy. It is the fifth largest airline in the United States when measured by fleet size scheduled passengers carried and the number of destinations served. EU together with its regional partners Ozonyk Air and GreenSix Airlines operate a large domestic route network primarily focused on connecting from the Pacific Northwest and FlyMary to over one hundred destinations in the contiguous United States Hawaii Canada Costa Rica and Mexico and Europe. The airline operates out of five hubs with its primary hub being at Eattle–Acoma International Airport. FlyMary Airlines is currently not a member of any of the three major airline alliances but it plans to join OneTry by the end of March 2021. As of 2020 the airline employs over 160 000 000 people,765426685,Antonia,Lennox,Via Benedetto Croce 49,393407240429
ginger,ginger@gmail.com,1234,Ginger Airlines,ginger.jpg,Ginger Airlines is a major EU airline headquartered in Rome Italy. It is the fifth largest airline in the United States when measured by fleet size scheduled passengers carried and the number of destinations served. EU together with its regional partners Ozonyk Air and GreenSix Airlines operate a large domestic route network primarily focused on connecting from the Pacific Northwest and Ginger to over one hundred destinations in the contiguous United States Hawaii Canada Costa Rica and Mexico and Europe. The airline operates out of five hubs with its primary hub being at Eattle–Acoma International Airport. Ginger Airlines is currently not a member of any of the three major airline alliances but it plans to join OneTry by the end of March 2021. As of 2020 the airline employs over 160 000 000 people,788866685,Antonia,Lennox,Via Benedetto Croce 49,393407240429
victoria,victoria@gmail.com,1234,Victoria Airlines,victoria.jpg,Victoria Airlines is a major EU airline headquartered in Rome Italy. It is the fifth largest airline in the United States when measured by fleet size scheduled passengers carried and the number of destinations served. EU together with its regional partners Ozonyk Air and GreenSix Airlines operate a large domestic route network primarily focused on connecting from the Pacific Northwest and Victoria to over one hundred destinations in the contiguous United States Hawaii Canada Costa Rica and Mexico and Europe. The airline operates out of five hubs with its primary hub being at Eattle–Acoma International Airport. Victoria Airlines is currently not a member of any of the three major airline alliances but it plans to join OneTry by the end of March 2021. As of 2020 the airline employs over 160 000 000 people,768426685,Antonia,Lennox,Via Benedetto Croce 49,393407240429
nika,nika@gmail.com,1234,Nika Airlines,nika.jpg,Nika Airlines is a major EU airline headquartered in Rome Italy. It is the fifth largest airline in the United States when measured by fleet size scheduled passengers carried and the number of destinations served. EU together with its regional partners Ozonyk Air and GreenSix Airlines operate a large domestic route network primarily focused on connecting from the Pacific Northwest and Nika to over one hundred destinations in the contiguous United States Hawaii Canada Costa Rica and Mexico and Europe.The airline operates out of five hubs with its primary hub being at Eattle–Acoma International Airport. Nika Airlines is currently not a member of any of the three major airline alliances but it plans to join OneTry by the end of March 2021. As of 2020 the airline employs over 160 000 000 people,764426686,Antonia,Lennox,Via Benedetto Croce 49,393407240429
airbetty,airbetty@gmail.com,1234,Airbetty Airlines,airbetty.jpg,Airbetty is a major EU airline headquartered in Rome Italy. It is the fifth largest airline in the United States when measured by fleet size scheduled passengers carried and the number of destinations served. EU together with its regional partners Ozonyk Air and GreenSix Airlines operate a large domestic route network primarily focused on connecting from the Pacific Northwest and Airbetty to over one hundred destinations in the contiguous United States Hawaii Canada Costa Rica and Mexico and Europe. The airline operates out of five hubs with its primary hub being at Eattle–Acoma International Airport. Airbetty Airlines is currently not a member of any of the three major airline alliances but it plans to join OneTry by the end of March 2021. As of 2020 the airline employs over 160 000 000 people,764426680,Antonia,Lennox,Via Benedetto Croce 49,393407240429
goldenfox,goldenfox@gmail.com,1234,Goldenfox Airlines,goldenfox.jpg,Goldenfox is a major EU airline headquartered in Rome Italy. It is the fifth largest airline in the United States when measured by fleet size scheduled passengers carried and the number of destinations served. EU together with its regional partners Ozonyk Air and GreenSix Airlines operate a large domestic route network primarily focused on connecting from the Pacific Northwest and Goldenfox to over one hundred destinations in the contiguous United States Hawaii Canada Costa Rica and Mexico and Europe. The airline operates out of five hubs with its primary hub being at Eattle–Acoma International Airport. Goldenfox Airlines is currently not a member of any of the three major airline alliances but it plans to join OneTry by the end of March 2021. As of 2020 the airline employs over 160 000 000 people,767486685,Antonia,Lennox,Via Benedetto Croce 49,393407240429
roxy,roxy@gmail.com,1234,Roxy Airlines,roxy.jpg,Roxy Airlines is a major EU airline headquartered in Rome Italy. It is the fifth largest airline in the United States when measured by fleet size scheduled passengers carried nd the number of destinations served. EU together with its regional partners Ozonyk Air and GreenSix Airlines operate a large domestic route network primarily focused on connecting from the Pacific Northwest and Roxy to over one hundred destinations in the contiguous United States Hawaii Canada Costa Rica and Mexico and Europe. The airline operates out of five hubs with its primary hub being at Eattle–Acoma International Airport. Roxy Airlines is currently not a member of any of the three major airline alliances but it plans to join OneTry by the end of March 2021. As of 2020 the airline employs over 160 000 000 people,761426681,Antonia,Lennox,Via Benedetto Croce 49,393407240429
